Gene	Group
ANAPC2	G1/S
CCND1	G1/S
CCNE1	G1/S
CDC34	G1/S
CDK4	G1/S
CDK6	G1/S
CDKN1B	G1/S
CDKN3	G1/S
CUL1	G1/S
CUL2	G1/S
CUL3	G1/S
SKP2	G1/S
ABL1	S
MCM2	S
MCM3	S
MCM4	S
MCM5	S
PCNA	S
RPA3	S
SUMO1	S
UBA1	S
ANAPC2	G2/M
ANAPC4	G2/M
DIRAS3	G2/M
BCCIP	G2/M
BIRC5	G2/M
CCNB1	G2/M
CCNG1	G2/M
CCNH	G2/M
CCNT1	G2/M
CCNT2	G2/M
CDK5R1	G2/M
CDK5RAP1	G2/M
CDK7	G2/M
CDKN3	G2/M
CKS1B	G2/M
CKS2	G2/M
DDX11	G2/M
DNM2	G2/M
GTF2H1	G2/M
GTSE1	G2/M
HERC5	G2/M
KPNA2	G2/M
MNAT1	G2/M
SERTAD1	G2/M
CCNB2	M
CCNF	M
CDK1	M
CDC16	M
CDC20	M
MRE11A	M
RAD51	M
