Gene	Group
ATM	CCC
ATR	CCC
BRCA1	CCC
BRCA2	CCC
CCNG2	CCC
CDC2	CCC
CDC34	CCC
CDK2	CCC
CDKN1A	CCC
CDKN1B	CCC
CDKN2A	CCC
CDKN2B	CCC
CDKN3	CCC
CHEK1	CCC
CHEK2	CCC
CUL1	CCC
CUL2	CCC
CUL3	CCC
GADD45A	CCC
HUS1	CCC
KNTC1	CCC
MAD2L1	CCC
MAD2L2	CCC
NBN	CCC
RAD1	CCC
RAD17	CCC
RAD9A	CCC
RB1	CCC
RBBP8	CCC
TP53	CCC
ABL1	RCC
ANAPC2	RCC
ANAPC4	RCC
DIRAS3	RCC
ATM	RCC
ATR	RCC
BCCIP	RCC
BCL2	RCC
BRCA2	RCC
CCNB1	RCC
CCNB2	RCC
CCNC	RCC
CCND1	RCC
CCND2	RCC
CCNE1	RCC
CCNF	RCC
CCNH	RCC
CCNT1	RCC
CCNT2	RCC
CDC16	RCC
CDC2	RCC
CDC20	RCC
CDK2	RCC
CDK4	RCC
CDK5R1	RCC
CDK6	RCC
CDK7	RCC
CDK8	RCC
CDKN1A	RCC
CDKN1B	RCC
CKS1B	RCC
DDX11	RCC
E2F4	RCC
GADD45A	RCC
KNTC1	RCC
MKI67	RCC
PCNA	RCC
RAD9A	RCC
RB1	RCC
SKP2	RCC
TFDP1	RCC
TFDP2	RCC
ATM	NRCC
BAX	NRCC
BRCA1	NRCC
CDKN2B	NRCC
RBL1	NRCC
RBL2	NRCC
TP53	NRCC
