Gene	Group
MXRA5	invasive
GABRE	invasive
DDX3Y	invasive
VCAM1	invasive
POSTN	invasive
CD248	invasive
ABCC3	invasive
ANPEP	invasive
TMEM200A	invasive
ADAMTS12	invasive
F2RL2	invasive
IL1B	invasive
RPS4Y1	invasive
EREG	invasive
COL1A1	invasive
SERPINB7	invasive
ADAMTSL1	invasive
KDM5D	invasive
TXLNG2P	invasive
GPR128	invasive
ALPK2	invasive
SLC14A1	invasive
VIPR1	invasive
CDH13	invasive
PTGFR	invasive
PTX3	invasive
CPA4	invasive
SERPINE1	invasive
CCL2	invasive
CCDC68	invasive
NETO1	invasive
EDN1	invasive
ELTD1	invasive
PLAU	invasive
RP11-48O20.4	invasive
CDH6	invasive
EIF1AY	invasive
RGS4	invasive
COL8A1	invasive
GPR39	invasive
FENDRR	invasive
ESM1	invasive
CTA-392C11.1	invasive
DPEP3	invasive
SSTR1	invasive
PRKY	invasive
FPR3	invasive
SMEK3P	invasive
TNFRSF9	invasive
PXDN	invasive
FPR1	invasive
MAGEA4	invasive
FAM196B	invasive
COL1A2	invasive
ANXA10	invasive
MKX	invasive
WNT7B	invasive
ARMC4	invasive
FGF5	invasive
MUC13	invasive
UTY	invasive
GALNT5	invasive
GDF5	invasive
LRRC15	invasive
KAL1	invasive
SPANXD	invasive
LRRC17	invasive
SMOC1	invasive
NTNG1	invasive
BDNF	invasive
IFI27	invasive
ZFY	invasive
PAPPA	invasive
LOXL2	invasive
IL1A	invasive
USP9Y	invasive
TSPYL5	invasive
SPANXC	invasive
CCBE1	invasive
LYPD6B	invasive
PAPPA2	invasive
ADAMTS6	invasive
C7orf69	invasive
CPA3	invasive
IGFN1	invasive
C3	invasive
G0S2	invasive
TRHDE	invasive
ITGA11	invasive
CDA	invasive
CTD-2171N6.1	invasive
ABCC9	invasive
APBB1IP	invasive
IL6	invasive
FAM43B	invasive
ITGBL1	invasive
CREB3L1	invasive
TTTY15	invasive
FOXF1	invasive
FOXR2	invasive
PSG5	invasive
VGLL3	invasive
FOXG1	invasive
TNFSF18	invasive
RAB27B	invasive
IDO1	invasive
FAM180A	invasive
PARM1	invasive
RAB3B	invasive
KRT81	invasive
MEOX2	invasive
GREM1	invasive
ECSCR	invasive
GALNT6	invasive
IL32	invasive
CD163L1	invasive
TRHDE-AS1	invasive
C6orf141	invasive
MMP19	invasive
THBD	invasive
LDB2	invasive
PBX1	invasive
GPR68	invasive
BDKRB2	invasive
TENM2	invasive
CFI	invasive
EDIL3	invasive
LINC00707	invasive
MIR137HG	invasive
GBP1	invasive
F2RL1	invasive
PDE1C	invasive
RTN1	invasive
AXL	invasive
ABI3BP	invasive
TRIML2	invasive
NEXN	invasive
CA9	invasive
TCF4	invasive
NID2	invasive
MYCT1	invasive
HS3ST3A1	invasive
CLMP	invasive
SLC15A3	invasive
GSTM1	invasive
SH2D4A	invasive
COL13A1	invasive
GLIS3	invasive
BNC1	invasive
POU2F2	invasive
SPATA18	invasive
COL5A1	invasive
AOX1	invasive
S1PR1	invasive
SCN9A	invasive
MT1E	invasive
EFEMP1	invasive
GLIPR1	invasive
GBP4	invasive
RP11-371I1.2	invasive
OAS2	invasive
NMNAT2	invasive
RP11-224O19.2	invasive
RSAD2	invasive
CHMP4C	invasive
FAM155A	invasive
PITX1	invasive
CFH	invasive
GABRQ	invasive
TRIM58	invasive
PRDM8	invasive
LOXL1	invasive
APOL3	invasive
ARHGDIB	invasive
JPH2	invasive
KRT80	invasive
EMILIN1	invasive
TNFRSF11B	invasive
HTR1F	invasive
RRAD	invasive
IL18R1	invasive
IL7R	invasive
AMIGO2	invasive
ATP8B1	invasive
FBN2	invasive
CXCL2	invasive
NRG1	invasive
ISG15	invasive
HSPB6	invasive
INHBA	invasive
RASGRF2	invasive
NTN4	invasive
GUCY1B3	invasive
IL4I1	invasive
COL12A1	invasive
MT1A	invasive
IL11	invasive
TMEM158	invasive
STK33	invasive
ARNTL2	invasive
PKP2	invasive
LAMC2	invasive
TOR4A	invasive
SOD3	invasive
TMEM119	invasive
SRGN	invasive
IGFBP6	invasive
SCG2	invasive
IL1RL1	invasive
TOX2	invasive
NLRP3	invasive
BIRC3	invasive
HSPB7	invasive
FBN1	invasive
SULF1	invasive
KCNMA1	invasive
PROSER2-AS1	invasive
SSC5D	invasive
DENND2A	invasive
PDCD1LG2	invasive
S1PR3	invasive
COL6A3	invasive
LPAR1	invasive
VIT	invasive
COL3A1	invasive
PTPRN	invasive
DNAH2	invasive
DKK3	invasive
FGF1	invasive
XAF1	invasive
HECW2	invasive
RP11-166D19.1	invasive
CFB	invasive
FLNC	invasive
ACE	invasive
CYP1B1	invasive
GALNT13	invasive
SLC6A10P	invasive
COL5A2	invasive
THBS1	invasive
SERPINB2	invasive
CLIC2	invasive
MPP4	invasive
KLHL4	invasive
CA12	invasive
RARRES3	invasive
VEGFC	invasive
COL4A6	invasive
WNT5A	invasive
HHIPL2	invasive
OASL	invasive
CLDN11	invasive
CSF1R	invasive
MYPN	invasive
S100A4	invasive
TGM2	invasive
SLIT2	invasive
TNFAIP2	invasive
KRT18	invasive
CCL5	invasive
IFI44L	invasive
MAGEA10	invasive
MX2	invasive
NRP1	invasive
CCDC80	invasive
MAGEA11	invasive
GABRA2	invasive
HRH1	invasive
IFITM1	invasive
NR2F1	invasive
TRPC4	invasive
TGFB2	invasive
CDK15	invasive
ZNF385D	invasive
KRT8	invasive
RP5-1011O1.3	invasive
OXTR	invasive
NGEF	invasive
LOX	invasive
FMOD	invasive
PPARG	invasive
RP11-513O17.2	invasive
SRPX2	invasive
IRAK2	invasive
MGST1	invasive
CRISPLD2	invasive
AR	invasive
EPHB2	invasive
LAMA3	invasive
CDH12	invasive
TRIM22	invasive
RP11-400K9.4	invasive
PTPLAD2	invasive
ARHGAP22	invasive
CHRDL1	invasive
SLFN11	invasive
ADAM19	invasive
COLEC12	invasive
STAC	invasive
MYL9	invasive
NTSR1	invasive
TSLP	invasive
PDGFRB	invasive
STC2	invasive
PCDHGA7	invasive
GPR1	invasive
SLC16A9	invasive
EGFR	invasive
SPOCD1	invasive
FRMPD4	invasive
AKR1C3	invasive
PRTFDC1	invasive
CLU	invasive
FAM101A	invasive
PLAGL1	invasive
IL8	invasive
CACNA1C	invasive
DSE	invasive
FAM84A	invasive
SLC16A2	invasive
COL6A2	invasive
FZD2	invasive
EFNB2	invasive
LOXL1-AS1	invasive
ARTN	invasive
STC1	invasive
LTBP1	invasive
MECOM	invasive
ZNF804A	invasive
RARRES1	invasive
RELN	invasive
TMEM200B	invasive
LAPTM5	invasive
MMP2	invasive
CAMK1D	invasive
PDGFC	invasive
PODXL	invasive
GCNT1	invasive
FGF2	invasive
CD96	invasive
CYR61	invasive
HIC1	invasive
MPP7	invasive
A4GALT	invasive
LINC00960	invasive
LAYN	invasive
WISP1	invasive
MX1	invasive
NPTX1	invasive
WNT5A-AS1	invasive
WNT5B	invasive
AC005789.11	invasive
FAM65C	invasive
IRF1	invasive
SAMD9L	invasive
KCNT2	invasive
FOXE1	invasive
NHS	invasive
LY6K	invasive
FOXC2	invasive
CRIM1	invasive
DOCK3	invasive
TNFRSF10A	invasive
DOCK2	invasive
CYP27C1	invasive
AMZ1	invasive
SECTM1	invasive
SOX9	invasive
FIBCD1	invasive
SH3RF2	invasive
DCN	invasive
SCARA3	invasive
BLK	invasive
TAGLN	invasive
PCOLCE	invasive
THSD4	invasive
KIAA1462	invasive
DKK1	invasive
FAM167A	invasive
PCDHGB4	invasive
SAMD12	invasive
B3GNT9	invasive
IFI44	invasive
DPYD	invasive
TLE4	invasive
IL20RB	invasive
FAM20C	invasive
PDGFB	invasive
SYT1	invasive
C12orf75	invasive
SCG5	invasive
EPHA2	invasive
ADAM8	invasive
AMPD3	invasive
LTBP2	invasive
MAGEC2	invasive
EPS8L2	invasive
RYR2	invasive
PCDHB3	invasive
NNMT	invasive
VASN	invasive
SPEG	invasive
LPHN2	invasive
PCDHGA11	invasive
PLAUR	invasive
ITGB4	invasive
ITGA2	invasive
CXCL3	invasive
ADAMTS4	invasive
PRDM1	invasive
STEAP2	invasive
BASP1	invasive
SPRED3	invasive
S100A16	invasive
TDRD9	invasive
MYLK	invasive
COL6A1	invasive
ANGPTL4	invasive
PCDH10	invasive
TFPI	invasive
PDZD2	invasive
RP11-575F12.2	invasive
SUSD1	invasive
HTR7	invasive
TPM2	invasive
CPE	invasive
FLNB	invasive
ZNF415	invasive
GPX1P1	invasive
SYBU	invasive
C1R	invasive
ERRFI1	invasive
IGFBP3	invasive
DPF3	invasive
ZNF185	invasive
CXCL1	invasive
PIP5KL1	invasive
GPR176	invasive
TRABD2A	invasive
NR2F1-AS1	invasive
IFI6	invasive
VCAN	invasive
SHC3	invasive
SCN2A	invasive
NUAK2	invasive
ITGA5	invasive
SPOCK1	invasive
IKZF2	invasive
DDAH1	invasive
BCL3	invasive
TFPI2	invasive
INHBE	invasive
RRAS	invasive
OSMR	invasive
LAMB3	invasive
EFEMP2	invasive
NMI	invasive
IFIT1	invasive
TBX3	invasive
FERMT3	invasive
ID1	invasive
MT2A	invasive
ST8SIA5	invasive
ANTXR2	invasive
PEX5L	invasive
KIRREL3	invasive
LMO7	invasive
PPP1R13L	invasive
MIR22HG	invasive
CD274	invasive
CAV1	invasive
NCEH1	invasive
NDUFA4L2	invasive
CSF1	invasive
CLEC2B	invasive
RP4-758J24.5	invasive
LINC00085	invasive
HEG1	invasive
FOSL1	invasive
EPAS1	invasive
SAMD9	invasive
AJUBA	invasive
BCAT1	invasive
ARHGAP23	invasive
NFE2L3	invasive
TPM1	invasive
RUNX2	invasive
SNED1	invasive
DGKA	invasive
PLOD2	invasive
CPED1	invasive
CDC42EP2	invasive
DDX58	invasive
SMURF2	invasive
HAS3	invasive
ZC3H12A	invasive
QSOX1	invasive
ERAP2	invasive
UCHL1	invasive
C4orf32	invasive
GAS6	invasive
