Probe_set	Gene	Title	Proliferative	Invasive	Group
213790_at	ADAM12	ADAM metallopeptidase domain 12	0.3545	1.387	Invasive
202952_s_at	ADAM12	ADAM metallopeptidase domain 12	0.591	3.175	Invasive
203002_at	AMOTL2	angiomotin like 2	4.554	11.315	Invasive
202686_s_at	AXL	AXL receptor tyrosine kinase	0.8225	27.955	Invasive
210538_s_at	BIRC3	baculoviral IAP repeat-containing 3	0.2515	1.141	Invasive
204726_at	CDH13	"cadherin 13, H-cadherin (heart)"	0.166	2.12	Invasive
204604_at	CDK14	cyclin-dependent kinase 14	2.168	6.3055	Invasive
211343_s_at	COL13A1	"collagen, type XIII, alpha 1"	0.305	4.8645	Invasive
202552_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)	0.827	7.5345	Invasive
202551_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)	1.3245	15.83	Invasive
221541_at	CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	0.7625	2.0775	Invasive
210764_s_at	CYR61	"cysteine-rich, angiogenic inducer, 61"	2.255	21.695	Invasive
201289_at	CYR61	"cysteine-rich, angiogenic inducer, 61"	3.589	35.96	Invasive
204646_at	DPYD	dihydropyrimidine dehydrogenase	0.3965	6.108	Invasive
201842_s_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.429	8.129	Invasive
201983_s_at	EGFR	epidermal growth factor receptor	0.4825	3.8605	Invasive
213506_at	F2RL1	coagulation factor II (thrombin) receptor-like 1	0.1935	1.327	Invasive
204421_s_at	FGF2	fibroblast growth factor 2 (basic)	1.1395	3.1335	Invasive
208614_s_at	FLNB	"filamin B, beta"	3.1465	11.825	Invasive
206307_s_at	FOXD1	forkhead box D1	3.3845	10.725	Invasive
204948_s_at	FST	Follistatin	2.495	12.765	Invasive
210220_at	FZD2	frizzled homolog 2 (Drosophila)	1.387	5.4265	Invasive
212822_at	HEG1	HEG homolog 1 (zebrafish)	3.216	9.145	Invasive
213069_at	HEG1	HEG homolog 1 (zebrafish)	5.844	18.235	Invasive
