X451Lu_Resist_BR2_1	X451Lu_Resist_BR2_2	X451Lu_Resist_BR3_27r	X451Lu_Resist_BR3_28r	X451Lu_Par_Par13	X451Lu_Par_Par19
A1BG	373	47	124	73	272	226
A1BG-AS1	620	115	203	128	321	247
A1CF	0	0	0	0	0	0
A2M	1019	408	10686	6511	1467	659
A2M-AS1	70	8	9	10	52	33
A2ML1	0	0	0	0	0	0
A2MP1	0	0	0	0	1	0
A3GALT2	9	0	2	1	7	1
A4GALT	0	0	0	0	0	0
A4GNT	0	0	0	0	0	1
AA06	0	0	0	0	0	0
AAAS	1905	280	814	424	1269	1006
AACS	2836	471	606	401	1520	1277
AACSP1	0	1	2	0	1	0
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	170	41	361	232	248	170
AAED1	933	95	395	227	538	552
AAGAB	2726	372	1669	1003	1840	1849
AAK1	4561	566	1052	887	1694	1964
AAMDC	980	162	548	295	661	471
AAMP	8286	1271	4230	2613	4530	4325
AANAT	3	1	3	3	4	2
AAR2	3024	479	1537	1014	1682	1346
AARD	2	1	8	13	9	6
AARS	17042	2776	6039	5156	15805	12383
AARS2	5243	837	1286	825	2451	2113
AARSD1	1	3	0	1	4	2
AASDH	1556	234	937	579	1122	1020
AASDHPPT	5490	710	3380	2125	4051	3482
AASS	8027	992	3288	2147	4479	4367
AATBC	19	3	4	3	4	3
AATF	3652	533	1660	1206	2535	2305
AATK	361	63	142	101	357	215
AATK-AS1	0	0	0	0	0	0
ABALON	9	1	10	6	14	4
ABAT	200	20	268	221	19	20
ABCA1	119	31	602	372	315	761
ABCA10	12	3	32	26	39	19
ABCA11P	79	11	129	90	52	49
ABCA12	79	16	4	0	45	16
ABCA13	47	7	76	39	34	62
ABCA17P	3	0	2	1	1	2
ABCA2	3485	506	477	336	1413	1042
ABCA3	89	14	3	4	38	25
ABCA4	4	1	9	3	5	1
ABCA5	4268	669	2877	1706	4731	2919
ABCA6	0	1	3	2	7	1
ABCA7	869	83	132	78	252	216
ABCA8	0	0	0	0	4	1
ABCA9	1	1	1	1	2	0
ABCA9-AS1	0	0	0	0	0	0
ABCB1	7	1	2	0	0	0
ABCB10	2404	299	1236	795	1375	1507
ABCB11	0	0	3	4	0	0
ABCB4	10	0	4	1	39	28
ABCB5	70	8	1213	826	35	25
ABCB6	3451	464	2523	1596	951	1194
ABCB7	2403	395	2788	1732	1644	1606
ABCB8	4960	673	523	381	827	858
ABCB9	783	112	219	147	302	371
ABCC1	3819	480	906	800	1243	1142
ABCC10	1020	124	404	265	396	302
ABCC11	13	3	13	5	18	7
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	496	47	92	60	122	164
ABCC3	1	0	0	0	0	1
ABCC4	6828	956	6334	4154	2777	2384
ABCC5	4409	596	1516	1069	2116	1341
ABCC5-AS1	0	0	0	0	0	0
ABCC6	0	1	0	0	0	1
ABCC6P1	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0
ABCC8	0	0	3	0	0	0
ABCC9	4	0	3	2	0	1
ABCD1	11529	1356	2081	1417	4129	4928
ABCD2	16	1	19	10	10	13
ABCD3	4653	707	2923	1909	3331	3675
ABCD4	1641	264	794	543	892	632
ABCE1	8491	1096	6330	3744	5900	6637
ABCF1	6756	1054	2583	2128	3313	3506
ABCF2	15150	2317	3276	2047	4477	4073
ABCF3	3721	495	1137	812	1813	1609
ABCG1	3	1	0	0	0	1
ABCG2	67	11	77	48	31	34
ABCG4	14	1	8	4	3	7
ABCG5	18	1	2	0	12	25
ABCG8	0	0	0	0	0	0
ABHD1	18	8	0	0	10	3
ABHD10	3991	570	1645	1046	2432	3194
ABHD11	693	106	201	107	567	488
ABHD11-AS1	10	3	9	6	21	0
ABHD12	6345	959	2181	1559	3201	3477
ABHD12B	0	0	0	0	0	0
ABHD13	2069	261	1582	1245	1025	747
ABHD14A	276	42	90	57	164	120
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	3340	502	783	599	1950	1931
ABHD15	675	87	284	173	276	262
ABHD16A	1381	211	672	359	861	845
ABHD16B	0	0	0	0	0	0
ABHD17A	1749	148	416	259	1059	690
ABHD17B	2022	302	941	639	1238	1199
ABHD17C	449	55	179	157	311	326
ABHD2	8221	1091	3351	2414	3650	4322
ABHD3	1016	161	838	516	680	527
ABHD4	647	116	244	120	330	167
ABHD5	1339	171	647	413	853	873
ABHD6	1435	248	547	322	771	744
ABHD8	378	51	113	67	142	182
ABI1	4739	656	1575	1329	2950	2484
ABI2	10723	1662	2442	2105	6292	5045
ABI3	0	1	0	0	0	0
ABI3BP	6	1	0	1	0	3
ABL1	4113	509	891	718	1681	1676
ABL2	11784	1600	4529	3371	6874	5836
ABLIM1	1139	152	110	88	333	390
ABLIM2	34	8	22	11	8	10
ABLIM3	1945	284	170	136	475	323
ABO	0	0	0	0	0	0
ABR	23698	3520	2909	2412	11943	8768
ABRA	0	0	0	0	0	0
ABRACL	2775	438	1334	847	1597	1604
ABT1	1089	165	426	279	691	645
ABTB1	844	136	67	102	485	198
ABTB2	573	149	147	111	368	204
ACAA1	2493	360	553	805	1219	1387
ACAA2	5706	924	2180	1516	3336	3310
ACACA	9758	1234	2901	2851	4285	4172
ACACB	2936	460	595	485	1182	1062
ACAD10	2267	423	467	321	1164	827
ACAD11	196	40	87	51	156	78
ACAD8	1591	259	672	400	996	742
ACAD9	4394	617	1369	918	2835	2303
ACADL	0	0	0	0	0	0
ACADM	7231	999	2802	1922	6114	6190
ACADS	1237	160	220	116	721	542
ACADSB	1835	213	574	476	1205	1117
ACADVL	9611	1775	3103	1913	7334	5237
ACAN	7	1	12	4	0	4
ACAP1	10	3	12	4	14	10
ACAP2	14847	2027	5618	3405	9686	9167
ACAP3	2614	391	617	421	1311	1140
ACAT1	6854	930	2773	1617	3866	4847
ACAT2	4701	678	2521	1534	2001	3119
ACBD3	6424	883	2114	1677	3052	3648
ACBD4	806	131	142	104	396	303
ACBD5	2725	387	1162	770	2133	2323
ACBD6	1888	273	950	494	1521	1146
ACBD7	1134	160	119	77	530	504
ACCS	611	95	261	151	383	212
ACCSL	20	5	7	10	3	3
ACD	1057	151	430	289	555	656
ACE	2	1	0	0	0	1
ACE2	2	0	0	0	0	1
ACER1	0	0	0	0	0	0
ACER2	54	8	35	18	25	42
ACER3	5101	754	3235	2093	2609	2112
ACHE	12	1	9	8	7	1
ACIN1	9540	1469	3643	3249	5498	4362
ACKR1	0	0	0	0	0	0
ACKR2	0	4	1	2	0	1
ACKR3	0	0	0	0	0	0
ACKR4	0	0	0	0	1	1
ACLY	18603	2613	5123	3372	7938	8953
ACMSD	1	0	0	0	0	0
ACO1	7386	1114	2266	1598	3950	4244
ACO2	17411	2356	4957	3762	7284	8642
ACOT1	456	89	293	191	467	429
ACOT11	577	64	134	92	275	219
ACOT12	20	5	1	0	23	12
ACOT13	1182	211	547	298	1172	1072
ACOT2	1259	205	761	428	1180	1046
ACOT4	2	0	0	1	2	0
ACOT6	0	0	0	0	1	0
ACOT7	9500	1360	2418	1855	6422	5258
ACOT8	1888	294	641	358	1121	1104
ACOT9	2537	361	1844	1089	1686	1844
ACOX1	11398	1759	5506	3634	8373	8030
ACOX2	5	0	1	0	8	4
ACOX3	526	84	338	226	285	270
ACOXL	1	0	9	4	0	1
ACP1	6474	1047	3011	1876	4641	3969
ACP2	1207	188	487	339	662	566
ACP5	7022	1140	2841	1665	5308	3865
ACP6	304	31	125	93	128	103
ACPP	2	5	3	1	36	98
ACPT	0	0	0	0	0	0
ACR	2	1	0	1	1	0
ACRBP	7	1	6	1	6	2
ACRC	36	9	36	17	24	17
ACRV1	0	0	0	1	1	0
ACSBG1	24	13	11	11	25	17
ACSBG2	0	0	1	0	1	1
ACSF2	7630	1392	1374	828	4524	3329
ACSF3	2001	320	689	378	1170	1190
ACSL1	3333	467	2125	1542	2187	2399
ACSL3	60050	8633	42108	25189	44789	45747
ACSL4	5210	714	4611	3010	4029	4323
ACSL5	6	1	4	1	4	1
ACSL6	190	34	29	21	119	55
ACSM1	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
