X79a	X85a	X89a	X84a	X48a	X82a	X34a	X27a	X21a	X16a	X60a	X62a	X63a	X67c	X65c	X39c	X10c	X44c	X78c	X76c
A1BG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	12	12	1	1	2	0	2	10	10	13	6	14	7	7	19	23	5	10	5	25
A1CF	4	0	0	2	0	0	0	0	0	3	2	0	1	1	2	12	0	8	0	0
A2M	74	671	735	71	235	250	359	323	84	442	631	603	279	160	67	262	86	162	41	110
A2M-AS1	90	51	24	11	9	35	46	31	9	35	54	84	34	14	16	35	2	10	25	4
A2ML1	3	32	32	0	7	40	42	12	10	10	49	0	2	6	1	14	8	20	0	2
A2MP1	7	0	9	0	0	0	0	0	0	1	1	15	0	1	0	2	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	7	0	1	2	4	1	0	0	11	1	0	0	2	0	4	1	0	0
A4GNT	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	30	23	66	16	16	24	39	62	58	63	93	137	38	17	36	105	86	37	31	49
AACS	68	33	12	34	9	25	5	8	78	23	31	86	34	24	30	38	33	26	31	52
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	56	4	41	0	32	2	25	47	123	18	24	87	56	9	52	37	1	28	23	24
AAED1	22	7	6	10	6	30	13	7	23	14	8	22	22	10	22	3	0	17	13	8
AAGAB	705	433	130	144	141	270	290	310	768	379	395	648	397	408	502	573	190	245	372	722
AAK1	9163	2476	1521	1692	1235	3095	2051	3582	8054	4307	5311	4160	4138	5296	6312	7097	3239	3740	4267	4333
AAMDC	81	122	56	14	11	23	40	105	124	91	160	90	95	56	72	101	23	58	75	87
AAMP	490	515	86	91	130	283	214	302	562	404	593	430	396	161	396	340	72	181	401	491
AANAT	2	2	0	0	0	0	0	0	0	0	1	0	1	1	21	0	0	1	5	0
AAR2	12	3	4	8	1	10	5	7	34	6	23	11	2	2	20	6	11	14	18	7
AARD	3	0	1	8	0	0	0	0	2	6	18	46	2	23	0	3	1	1	4	0
AARS	2380	1300	908	749	629	825	457	1161	2378	2233	2009	1885	1734	1466	2061	1873	1416	997	1790	2331
AARS2	117	49	39	35	16	25	21	111	139	79	102	119	18	41	105	112	48	51	22	56
AARSD1	33	28	6	9	4	20	3	20	65	5	35	40	22	18	42	39	19	22	29	54
AASDH	374	78	110	31	24	84	65	79	360	348	257	420	101	108	155	232	36	133	139	52
AASDHPPT	3029	623	202	376	287	723	556	747	2972	667	1181	965	943	1268	1903	1423	210	857	1079	668
AASS	62	247	244	28	72	75	158	275	85	233	329	253	87	120	37	160	38	226	35	34
AATBC	0	28	6	0	0	0	1	1	2	17	0	0	2	2	0	3	2	0	0	1
AATF	1335	615	600	372	271	590	413	724	1170	1235	675	440	1242	869	881	1251	788	787	756	1537
AATK	1851	2292	587	266	520	1218	1136	1696	2132	1757	1525	1930	1219	1433	1540	2250	630	924	868	2336
AATK-AS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABALON	12	10	13	1	3	10	3	16	3	8	15	0	18	5	4	12	18	3	9	13
ABAT	1081	1002	618	159	258	407	547	741	941	1186	1372	1462	408	663	663	522	540	526	551	618
ABCA1	84	245	1249	22	272	148	438	399	229	563	1123	1088	249	92	90	299	154	350	61	75
ABCA10	75	20	36	12	58	26	46	39	21	97	118	83	36	25	28	60	70	47	15	10
ABCA11P	15	0	9	2	6	39	6	40	27	12	3	16	23	9	21	8	2	7	13	3
ABCA12	17	2	3	0	0	0	0	10	0	0	2	2	2	2	11	0	8	5	9	0
ABCA13	1	0	0	2	1	0	1	0	0	0	7	0	0	5	0	0	3	6	0	0
