Genename	Control_1	Control_2	Control_3	T24_10	T24_5	T48_10	T48_5	T72_10	T72_5
A1BG	2.6524	3.8161	3.3495	2.7644	2.7830	4.9044	3.4273	4.4173	3.5476
A1BG-AS1	0.4515	0.2965	0.3704	0.2546	0.3886	0.2599	0.4111	0.5981	0.4133
A1CF	0.0222	0.0205	0.0191	0.0150	0.0109	0.0060	0.0086	0.0141	0.0121
A2M	0.0151	0.0000	0.0191	0.0122	0.0000	0.0000	0.0044	0.0000	0.0098
A2M-AS1	0.0000	0.0000	0.0000	0.0000	0.0125	0.0276	0.0000	0.0000	0.0000
A2ML1	0.0000	0.0209	0.0080	0.0164	0.0000	0.0156	0.0166	0.0271	0.0432
A2MP1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
A3GALT2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0222	0.0237	0.0387	0.0000
A4GALT	10.7869	11.2057	9.4427	13.9803	14.5778	14.2551	19.8894	19.2311	14.4651
A4GNT	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AA06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AAAS	35.7728	40.9263	37.4072	33.7258	36.7485	30.1564	45.1590	41.7393	34.3924
AACS	16.2776	15.3838	16.1835	18.8920	20.1124	17.3086	18.5867	18.6651	19.0918
AACSP1	0.1022	0.0849	0.2597	0.0727	0.1134	0.0974	0.0745	0.1702	0.1502
AADAC	0.0000	0.0264	0.0000	0.0000	0.0000	0.0000	0.0000	0.0227	0.0156
AADACL2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AADACL2-AS1	1.4559	0.4496	1.1784	0.3577	0.7350	0.2807	0.4120	0.2779	0.8157
AADACL3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AADACL4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AADACP1	0.0000	0.1022	0.1042	0.0250	0.0000	0.0335	0.0358	0.0585	0.0000
AADAT	3.8173	2.6402	3.2916	2.8877	2.8167	2.7699	2.6181	3.1003	2.7874
AAED1	14.0478	11.6203	14.0550	12.9847	13.5575	9.7867	12.3390	12.8402	10.4568
AAGAB	39.8879	30.9083	36.6152	37.0590	35.0002	30.8160	29.5694	32.1638	33.4048
AAK1	4.5020	2.5507	3.6319	3.1294	3.1584	3.3035	3.3061	3.7017	3.4653
AAMDC	30.1663	24.3745	23.2016	23.6289	25.7921	29.4191	33.7578	32.8709	28.2425
AAMP	238.9511	234.2758	249.5036	299.2263	278.1934	281.3635	273.4737	267.3435	273.6899
AANAT	1.1802	0.4532	0.8902	0.8971	0.8141	0.7929	1.8681	1.1015	1.0351
AAR2	25.8994	28.5693	29.6770	32.0330	33.6290	23.8626	28.3799	28.1473	29.2699
AARD	0.4497	0.2616	0.1811	0.1750	0.2371	0.2242	0.1875	0.1491	0.2571
AARS	397.1090	378.8670	412.2880	385.0020	416.0520	301.6150	327.0690	325.3120	339.2970
AARS2	7.8732	5.9557	7.3252	6.6457	7.1533	5.7688	7.8525	7.4115	6.8696
AARSD1	51.8920	49.7281	50.0956	46.6743	47.0478	50.4097	47.5273	50.4610	51.6777
AASDH	6.4479	4.1055	6.1396	5.2850	5.1722	3.3489	4.8985	4.7655	4.7238
AASDHPPT	32.4863	25.7005	34.5823	28.9838	29.6199	22.9888	32.7986	31.0236	28.9360
AASS	2.1389	1.1726	1.4867	1.4344	1.5146	1.2554	1.3898	1.6368	1.3515
AATBC	0.0914	0.1182	0.1097	0.1115	0.0733	0.0457	0.1110	0.1088	0.0448
AATF	118.8520	98.1515	107.6270	115.8640	113.0590	94.4420	108.9010	120.0870	101.4490
AATK	0.0685	0.1139	0.1393	0.0669	0.0913	0.0747	0.0799	0.1305	0.0716
AATK-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ABALON	22.9129	23.9407	25.1914	14.5074	16.1899	13.2951	16.8896	15.7959	15.8447
