ESC_47	ESC_19	ESC_20	ESC_13	ESC_11	ESC_28	ESC_3	ESC_36	ESC_22	ESC_37	ESC_29	ESC_45	ESC_15	ESC_14	ESC_10	ESC_1	ESC_21	ESC_5	ESC_6	ESC_23	ESC_35	ESC_25	ESC_2	ESC_43	ESC_30	ESC_12	ESC_24	ESC_27	ESC_40	ESC_7	ESC_17	ESC_38	ESC_39	ESC_16	ESC_4	ESC_9	ESC_31	ESC_33	ESC_42	ESC_18	ESC_34	ESC_26	ESC_48	ESC_41	MEF_54	MEF_61	MEF_67	MEF_91	MEF_62	MEF_70	MEF_78	MEF_90	MEF_49	MEF_77	MEF_53	MEF_74	MEF_59	MEF_81	MEF_84	MEF_83	MEF_79	MEF_72	MEF_60	MEF_88	MEF_73	MEF_71	MEF_51	MEF_65	MEF_66	MEF_76	MEF_68	MEF_92	MEF_89	MEF_64	MEF_87	MEF_82	MEF_75	MEF_69	MEF_52	MEF_50	MEF_86	MEF_63	MEF_56	MEF_55	MEF_80	MEF_85	MEF_58	MEF_57
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	72	19	135	13	1	0	28	16	0	0	0	0	0	0	124	0	0	20	0	13	55	70	0	0	2	22	19	0	0	0	0	31	0	0	1	6	0	18	1	0	5	0	0	4	16	106	0	65	8	8	32	17	0	1	1	5	28	65	0	0	0	31	31	50	0	14	2	0	0	54	0	23	0	0	40	0	0	54	22	0	0	4	23	1	0	20	48	0
Lypla1	75	0	44	0	26	0	0	25	13	0	0	0	0	1	0	0	20	1	0	0	0	12	4	0	0	6	30	2	0	1	0	0	0	0	0	0	10	0	0	1	137	0	0	13	37	20	96	0	8	150	4	109	1	9	0	0	33	0	28	0	1	235	64	3	0	53	95	174	0	7	0	4	41	75	25	0	0	10	0	0	18	13	16	195	0	0	161	67
Tcea1	16	12	57	17	0	0	0	37	56	0	78	8	13	43	16	10	7	21	0	0	3	35	2	9	0	23	188	18	15	0	7	5	11	0	2	0	14	55	0	10	0	5	0	18	31	341	72	248	2	118	25	40	105	80	0	35	23	187	112	0	35	36	87	7	88	170	166	107	53	444	97	80	109	22	14	7	4	24	59	30	1	33	22	15	3	71	129	71
Rgs20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Atp6v1h	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	34	0	0	0	0	10	0	0	21	9	26	161	0	0	18	112	107	49	0	26	0	98	21	0	32	3	10	0	0	0	13	3	8	107	61	38	41	144	115	28	88	124	0	1	47	53	96	25	4	0	82	118
Rb1cc1	3	0	8	0	1	0	0	0	27	0	1	4	13	0	35	0	0	3	0	0	1	0	3	0	0	0	0	7	0	2	0	0	0	9	12	0	0	0	0	0	0	17	0	10	20	86	112	0	2	189	8	191	798	163	3	257	35	45	263	0	16	64	136	122	41	133	91	98	0	136	51	188	151	534	100	59	26	124	3	78	11	27	34	247	74	8	56	368
4732440D04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam150a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	5	26	0	0	0	0	0	78	196	0	0	0	0	0	0	40	0	2	0	0	0	22	0	0	0	0	64	0	0	6	0	0	0	0	0	0	0	0	0	19	0	0	44
