A375_Resist_BR15_1	A375_Resist_BR15_2	A375_Resist_BR2_resist2	A375_Resist_BR2_resist3	A375_Par_Par4A	A375_Par_Par5A
A1BG	175	73	119	54	396	69
A1BG-AS1	306	151	290	250	728	121
A1CF	0	1	0	0	0	0
A2M	259	964	464	160	763	279
A2M-AS1	9	6	13	8	12	6
A2ML1	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0
A3GALT2	1	3	5	10	25	4
A4GALT	225	230	111	77	366	69
A4GNT	0	0	0	0	0	0
AA06	0	0	0	0	0	0
AAAS	1045	631	1128	803	4796	951
AACS	1871	1139	2479	1384	4471	864
AACSP1	27	23	55	39	193	30
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	2	0
AADACP1	0	0	0	0	3	1
AADAT	56	80	309	196	1565	307
AAED1	115	93	366	259	1094	277
AAGAB	1216	769	2431	1607	6640	1856
AAK1	447	316	1111	780	2234	356
AAMDC	209	35	98	53	304	86
AAMP	1833	1227	2173	1296	9408	1992
AANAT	3	1	1	1	3	0
AAR2	1716	845	1864	980	5864	1182
AARD	45	9	68	37	198	49
AARS	3022	7730	15508	9137	23173	4041
AARS2	898	720	818	534	4320	923
AARSD1	0	0	1	1	3	0
AASDH	281	366	798	614	2149	651
AASDHPPT	708	886	2508	1503	9982	2917
AASS	756	671	1565	1394	4754	1412
AATBC	1	1	1	0	0	0
AATF	1358	1177	2724	1665	11451	2753
AATK	14	96	10	6	139	14
AATK-AS1	0	0	0	0	0	0
ABALON	17	2	8	10	17	3
ABAT	1008	249	257	107	930	203
ABCA1	1624	834	2248	1894	3966	823
ABCA10	0	62	325	292	1113	319
ABCA11P	130	93	223	114	496	153
ABCA12	15	2	47	24	30	9
ABCA13	35	7	33	15	110	16
ABCA17P	2	4	6	4	7	2
ABCA2	1327	680	957	696	2009	313
ABCA3	314	56	289	379	52	12
ABCA4	3	0	3	2	1	0
ABCA5	86	239	301	321	969	291
ABCA6	1	54	34	19	270	91
ABCA7	1505	81	364	307	284	41
ABCA8	7	20	5	2	354	77
ABCA9	1	2	4	1	15	1
ABCA9-AS1	0	0	0	1	0	0
ABCB1	27	125	272	206	606	159
ABCB10	321	523	1498	979	4873	1187
ABCB11	0	0	0	0	0	0
ABCB4	16	139	35	20	176	72
ABCB5	43	2	0	0	0	0
ABCB6	588	278	582	431	2785	504
ABCB7	543	481	1118	791	3332	856
ABCB8	674	276	588	400	2028	292
ABCB9	438	214	782	534	2321	358
ABCC1	909	590	1406	1049	2819	382
ABCC10	447	151	488	332	1078	149
ABCC11	3	1	6	3	13	0
ABCC12	0	0	0	0	4	0
ABCC13	0	0	0	0	0	0
ABCC2	161	331	2448	2364	5703	1207
ABCC3	2021	76	2665	2334	690	105
ABCC4	461	655	2576	1669	6821	1737
ABCC5	517	330	733	651	2179	430
ABCC5-AS1	0	0	0	0	0	0
ABCC6	225	20	96	81	47	12
ABCC6P1	90	9	30	31	22	5
ABCC6P2	50	12	38	30	31	9
ABCC8	4	3	0	0	4	2
ABCC9	22	2	309	216	0	1
ABCD1	768	179	637	443	1878	275
ABCD2	9	6	10	5	15	6
ABCD3	449	437	1617	1203	5415	1566
ABCD4	463	311	631	394	1514	274
ABCE1	959	1426	4691	2913	17992	5039
ABCF1	1796	1259	2976	1873	10404	2058
ABCF2	2597	1377	3816	2082	13121	3033
ABCF3	880	441	912	666	2328	395
ABCG1	139	7	70	66	318	55
ABCG2	42	16	109	67	645	134
ABCG4	20	3	3	4	8	3
ABCG5	2	1	0	0	4	2
ABCG8	0	0	0	0	0	0
ABHD1	55	18	48	27	41	12
ABHD10	573	520	1632	1111	5006	1452
ABHD11	322	155	197	109	859	142
ABHD11-AS1	58	6	28	30	43	5
ABHD12	1189	422	1180	752	3592	716
ABHD12B	0	0	0	0	2	0
ABHD13	281	270	1375	952	2388	517
ABHD14A	252	29	182	109	372	63
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	2530	876	2555	1523	5483	932
ABHD15	527	194	474	369	1310	251
ABHD16A	778	359	653	344	2001	458
ABHD16B	0	0	0	2	0	0
ABHD17A	1320	382	603	351	2465	356
ABHD17B	424	422	839	561	4143	1111
ABHD17C	76	1609	299	164	6163	1543
ABHD2	2137	3102	3107	1785	7694	1583
ABHD3	53	126	117	85	1336	297
ABHD4	443	56	331	210	395	75
ABHD5	279	178	1003	589	2269	639
ABHD6	369	126	488	340	2272	541
ABHD8	1160	285	729	507	1209	235
ABI1	383	352	1200	802	3126	729
ABI2	692	709	1446	1005	4426	976
ABI3	0	7	15	7	10	0
ABI3BP	13	9	7	2	77	13
ABL1	3236	1486	3427	2099	7769	1313
ABL2	964	1197	5294	3539	11406	2261
ABLIM1	1350	476	3297	2091	2075	424
ABLIM2	4	3	6	1	12	2
ABLIM3	152	27	612	349	784	133
ABO	0	0	0	0	1	0
ABR	2113	1639	3812	2577	8323	1240
ABRA	0	0	0	0	0	0
ABRACL	198	112	401	278	2178	534
ABT1	403	283	622	403	2923	632
ABTB1	215	248	207	191	425	71
ABTB2	180	377	298	183	1366	186
ACAA1	883	405	718	450	2249	425
ACAA2	701	313	1210	722	2754	725
ACACA	2640	2574	8135	6242	13291	3188
ACACB	495	211	447	336	823	153
ACAD10	1210	624	999	679	1838	320
ACAD11	64	34	94	58	131	24
ACAD8	724	233	591	403	1635	370
ACAD9	828	392	1181	715	3732	829
ACADL	0	5	23	15	45	8
ACADM	300	355	1509	1039	4813	1420
ACADS	777	238	491	256	669	141
ACADSB	433	245	774	574	1931	526
ACADVL	11559	3939	12067	9187	25953	5874
ACAN	1	1158	7	10	356	69
ACAP1	89	8	37	29	24	8
ACAP2	788	649	2864	1974	5584	1609
ACAP3	885	223	750	550	2284	334
ACAT1	1525	751	2788	1612	6561	2032
ACAT2	272	340	894	517	5914	1612
ACBD3	1257	1213	4520	3235	8643	2168
