Gene	featureScore	Group
CD36	0.842919013	1
MYH11	0.824341105	1
SFRP1	0.711594044	1
CAV1	0.674201934	1
IGJ	0.616491188	1
TNS1	0.604436631	1
EGR1	0.60219927	1
KRT14	0.601550149	1
FOS	0.550825537	1
DST	0.547041549	1
KRT5	0.536291157	1
COL10A1	0.900963094	2
COL11A1	0.890138552	2
ASPN	0.879542054	2
LRRC15	0.87695008	2
COL1A1	0.844151645	2
COL1A2	0.804448763	2
COL3A1	0.798126824	2
COL5A2	0.743782039	2
COL5A1	0.734278592	2
COMP	0.710351013	2
POSTN	0.70894623	2
ADAM12	0.698848636	2
FN1	0.674741302	2
THBS2	0.662407504	2
MMP11	0.651790957	2
VCAN	0.620340526	2
COL6A3	0.614064733	2
MMP9	0.611558489	2
COL12A1	0.610364591	2
LUM	0.603357509	2
SFRP2	0.587751765	2
AEBP1	0.586030424	2
CDH11	0.577100819	2
CILP	0.571427416	2
FBN1	0.565449442	2
COL6A1	0.553780084	2
HTRA3	0.549125793	2
FNDC1	0.547310109	2
MXRA5	0.53826567	2
ESR1	0.925774853	3
SLC39A6	0.858862503	3
AFF3	0.831383183	3
SCUBE2	0.80721571	3
KIAA1467	0.789224305	3
GFRA1	0.787629355	3
SLC7A2	0.783802484	3
PGR	0.766296325	3
NAT1	0.755497378	3
TBC1D9	0.745410189	3
CA12	0.741910355	3
THSD4	0.739825789	3
AGR2	0.733046485	3
FOXA1	0.722774304	3
AGR3	0.719015933	3
C6orf211	0.701669177	3
GATA3	0.685395035	3
MAPT	0.679901761	3
GREB1	0.663033445	3
LRP2	0.650662638	3
STC2	0.639145996	3
IGF1R	0.634347952	3
SCGB2A2	0.629585217	3
ZNF552	0.601894115	3
ACADSB	0.597223262	3
MLPH	0.590817662	3
XBP1	0.590056596	3
IL6ST	0.589159222	3
NPNT	0.582001024	3
TSPAN1	0.578533703	3
ABAT	0.576046586	3
RAB11FIP1	0.571112635	3
CELSR1	0.563384025	3
PIP	0.558660754	3
CCND1	0.547488382	3
WWP1	0.547466044	3
TFF3	0.579844032	4
TFF1	0.572233031	4
SLC7A5	0.624503872	5
LOC96610	0.610164061	5
TOP2A	0.580006792	5
CENPF	0.567795996	5
MKI67	0.549694971	5
TPX2	0.548737024	5
