Gene	Group	Author	Journal	Year	Link	Title
MDM4 	High	Jean-Christophe Marine	Nature Medicine 	2012	http://goo.gl/5MlKPR	MDM4 is a key therapeutic target in cutaneous melanoma
TEAD1	High	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
TEAD2	High	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
TEAD3	High	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
TEAD4	High	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
MITF	Low	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
SOX10	Low	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
AP-1	High	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
JUN	High	Stein Aerts	Nature Communi	2015	http://goo.gl/Bzv33j	Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state
ZEB1	High	Eugene Tulchinsky 	Cancer Cell	2013	http://goo.gl/Qw1CVf	A Switch in the Expression of Embryonic EMT-Inducers Drives the Development of Malignant Melanoma
MITF	Low	Eugene Tulchinsky 	Cancer Cell	2013	http://goo.gl/Qw1CVf	A Switch in the Expression of Embryonic EMT-Inducers Drives the Development of Malignant Melanoma
YAP	High	Alain Mauviel	J Invest Dermatol	2014	http://goo.gl/OWHW4D	Pro-Invasive Activity of the Hippo Pathway Effectors YAP and TAZ in Cutaneous Melanoma
TAZ	High	Alain Mauviel	J Invest Dermatol	2014	http://goo.gl/OWHW4D	Pro-Invasive Activity of the Hippo Pathway Effectors YAP and TAZ in Cutaneous Melanoma
MITF	Low	Roger Lo	Nature Commune	2014	http://goo.gl/5320Va	Low ​MITF/​AXL ratio predicts early resistance to multiple targeted drugs in melanoma
AXL	High	Roger Lo	Nature Commune	2014	http://goo.gl/5320Va	Low ​MITF/​AXL ratio predicts early resistance to multiple targeted drugs in melanoma
