Gene	featureScore	Group
SILV	0.413866368	1
TYRP1	0.381122712	1
TRPM1	0.32754165	1
GPR143	0.271346722	1
MLANA	0.258870196	1
OCA2	0.250328045	1
TRIM63	0.245851354	1
TSPAN10	0.237173683	1
SLC45A2	0.229069586	1
TYR	0.207265972	1
CA14	0.203046852	1
ABCB5	0.194133718	1
DCT	0.181786483	1
BCAN	0.174976106	1
CDH3	0.171306536	1
SLC6A17	0.167715792	1
FAM69C	0.165240831	1
CDH1	0.16501189	1
GMPR	0.163183958	1
D4S234E	0.162552637	1
LGI3	0.145491721	1
ADAM6	0.351567126	2
IGJ	0.332431891	2
PLA2G2D	0.298849058	2
CXCL9	0.291406714	2
CD79A	0.272171819	2
CXCL13	0.259400896	2
CD3E	0.256828599	2
MGC29506	0.255897201	2
CCL19	0.246402176	2
UBD	0.245399194	2
GBP5	0.240001	2
ITGAL	0.234642956	2
CD8A	0.231457662	2
CD27	0.219517976	2
IL2RG	0.217907486	2
POU2AF1	0.216849645	2
CCL5	0.213937056	2
CD2	0.211106444	2
LCK	0.207220022	2
PTPRCAP	0.20661757	2
PTPRC	0.204684616	2
NKG7	0.203559743	2
LAG3	0.197077667	2
CCL21	0.196935511	2
LOC96610	0.193440337	2
SLAMF7	0.189563019	2
GZMK	0.188446966	2
CHIT1	0.182794736	2
CD3D	0.181046603	2
IDO1	0.181034857	2
CD7	0.179601497	2
PRF1	0.176874913	2
ACAP1	0.1741986	2
CD52	0.171342461	2
LTB	0.170657921	2
SLAMF6	0.170111135	2
IL32	0.168240194	2
CXCL10	0.167622429	2
HLA-DQA1	0.16749378	2
CIITA	0.166602423	2
IKZF1	0.165911574	2
CORO1A	0.164047718	2
HLA-DQA2	0.164036272	2
CD5	0.159376764	2
CD8B	0.158967465	2
HLA-DOA	0.15816445	2
FAIM3	0.157044882	2
CD6	0.156231956	2
SASH3	0.154149013	2
TIGIT	0.152095539	2
TBC1D10C	0.15161305	2
CD48	0.148975613	2
CXCR3	0.148085932	2
NCF1	0.147770688	2
PDCD1	0.147299349	2
ADAMDEC1	0.145677813	2
GZMA	0.144719562	2
IL2RB	0.143716252	2
GZMB	0.143366688	2
C1QTNF3	0.300658668	3
SERPINA3	0.268902472	3
MMP16	0.233084817	3
FREM2	0.212115537	3
NPTX2	0.204799681	3
ITIH5	0.203246224	3
ABCA8	0.196954208	3
LOXL3	0.195723317	3
SEMA3A	0.193143745	3
SFRP1	0.188539288	3
COL9A3	0.176136744	3
ITIH5L	0.166704569	3
SCRG1	0.164675974	3
PTPRZ1	0.158863767	3
FLRT3	0.157555046	3
BAALC	0.15437032	3
ANGPT1	0.153137717	3
GPC4	0.148326971	3
COL11A2	0.146493867	3
LOC399959	0.14538132	3
LOXL4	0.143992411	3
