Gene	featureScore	Group	prob
ADAM6	0.988919264	1	0.998357292
LOC96610	0.982079035	1	0.997318444
CXCL9	0.9636496	1	0.993356034
HLA-DQA1	0.905409572	1	0.981716236
HLA-DRA	0.880162147	1	0.974232289
HLA-DRB5	0.875581594	1	0.974383312
CD74	0.852226448	1	0.966797235
HLA-DRB1	0.846974858	1	0.966945703
GBP1	0.834879398	1	0.955691323
HLA-DPB1	0.81328887	1	0.957470168
HLA-DPA1	0.813258128	1	0.957392241
C3	0.776989466	1	0.933306716
C1QB	0.772738761	1	0.944428565
ITGB2	0.771978993	1	0.942864257
C1QA	0.75109183	1	0.938048337
LYZ	0.728845213	1	0.911996573
FCGR3A	0.728189705	1	0.911688335
HLA-DQB1	0.726692977	1	0.929268685
IRF1	0.726527508	1	0.92941356
C1QC	0.723783165	1	0.926486265
LAPTM5	0.711999351	1	0.918948357
CECR1	0.692197383	1	0.917006886
HLA-DMA	0.687211238	1	0.916977784
APOL1	0.656166051	1	0.904548988
GBP2	0.652700479	1	0.872530678
CTSS	0.628280843	1	0.889991861
LCP1	0.628015952	1	0.862646873
C4A	0.620344668	1	0.853213612
CDH19	0.979717817	2	0.996997876
PTPRZ1	0.943870796	2	0.988751196
PEG10	0.906738598	2	0.979815519
SLC5A3	0.896966654	2	0.976007773
IGFBP3	0.882702323	2	0.973864878
PCDH7	0.880153019	2	0.974620287
HMCN1	0.872228939	2	0.971986502
SLC26A2	0.863611011	2	0.97133771
CDK6	0.856041613	2	0.965892855
SERPINA3	0.845276311	2	0.959357296
SPRY2	0.833799998	2	0.962560487
TNFRSF19	0.830019845	2	0.957672156
SSFA2	0.810121051	2	0.956315679
SEMA3C	0.802708513	2	0.954254778
MGP	0.797161347	2	0.94149247
CHL1	0.795298445	2	0.948967464
F2R	0.793244401	2	0.941106187
ITGB3	0.778431975	2	0.93390552
ALDH1A3	0.762927393	2	0.927345867
SPRY4	0.747977362	2	0.929205359
SPRED1	0.739010103	2	0.934581937
LOXL4	0.738791945	2	0.923944225
AKAP12	0.734139956	2	0.9273668
SYNM	0.733890797	2	0.923926018
PLP1	0.710309293	2	0.903082043
SPP1	0.705563579	2	0.900732069
LAMA4	0.70111703	2	0.913496422
TRIM2	0.691266546	2	0.893479417
ASPH	0.682063581	2	0.912072662
TMX4	0.674235849	2	0.909223039
PPFIBP1	0.667586672	2	0.90975533
ARHGAP5	0.655632282	2	0.897783307
AMOTL1	0.651032487	2	0.901301776
SERPINE2	0.65035846	2	0.883153591
CD55	0.642062323	2	0.884222042
FRMD6	0.640189466	2	0.894540447
RPS3A	0.625738808	2	0.888548847
ENAH	0.624910346	2	0.872768148
POSTN	0.622402954	2	0.854494663
EIF3E	0.60806116	2	0.865451661
NDRG1	0.604235079	2	0.88339209
SILV	0.999469112	3	0.999946142
TSPAN10	0.954627125	3	0.992136836
GPR143	0.831172494	3	0.95435857
SLC45A2	0.783166959	3	0.946513528
SLC6A17	0.750986706	3	0.922116685
CDH3	0.722010829	3	0.908757852
TUBB4	0.711976767	3	0.903901088
GMPR	0.665163521	3	0.908189112
CDK2	0.657746998	3	0.886376671
SEMA6A	0.641874404	3	0.866256666
QPCT	0.625012076	3	0.856107903
VIM	0.625012076	3	0.856107903
MLANA	0.625012076	3	0.856107903
MITF	0.625012076	3	0.856107903
TYR	0.625012076	3	0.856107903
