Gene	featureScore	Group
ADAM6	0.98516904	1
LOC96610	0.978980064	1
CXCL9	0.961598057	1
HLA-DQA1	0.898590482	1
HLA-DRA	0.876752275	1
HLA-DRB5	0.851928111	1
HLA-DRB1	0.85066151	1
CD74	0.844180178	1
GBP1	0.835951794	1
HLA-DPA1	0.813910586	1
LYZ	0.802850932	1
HLA-DPB1	0.802361111	1
MMP9	0.771237371	1
ITGB2	0.771231045	1
C1QB	0.765361117	1
FCGR3A	0.746204725	1
C1QA	0.74202831	1
HLA-DQB1	0.728703333	1
C1QC	0.727750979	1
LAPTM5	0.723529663	1
C3	0.718483151	1
IRF1	0.716332441	1
HLA-DMA	0.708567656	1
CECR1	0.701405828	1
PEG10	0.931940307	2
PTPRZ1	0.924728933	2
HMCN1	0.910108109	2
CDH19	0.90811928	2
PCDH7	0.904476626	2
CDK6	0.81048755	2
CHL1	0.806189884	2
TNFRSF19	0.783359785	2
SSFA2	0.778730328	2
TRIM2	0.778208001	2
PLP1	0.772671124	2
RPS3A	0.771813033	2
SPRY2	0.758272119	2
SERPINA3	0.756355507	2
SEMA3C	0.753785954	2
SLC26A2	0.736887845	2
EIF3E	0.729139772	2
SPRED1	0.718187696	2
F2R	0.710881797	2
SPRY4	0.704686903	2
ENAH	0.701738818	2
RHOBTB3	0.691668872	2
ZFP106	0.687479377	2
SILV	0.999372971	3
TRPM1	0.989623126	3
TSPAN10	0.955791056	3
SLC45A2	0.762148843	3
GPR143	0.751351162	3
GMPR	0.702697254	3
