Gene	featureScore	Group
DCT	0.854921993	1
GAS5	0.846472271	1
EDNRB	0.76399094	1
SGCD	0.736036148	1
ZFP106	0.686342173	1
EIF3E	0.678399067	1
UBL3	0.645011103	1
NCRNA00188	0.633761761	1
RPS3A	0.633619999	1
RHOBTB3	0.61738572	1
CCNG1	0.608945837	1
ADAM6	0.99639294	2
LOC96610	0.983444728	2
CXCL9	0.96040708	2
HLA-DQA1	0.846340925	2
CD74	0.811573621	2
HLA-DRA	0.807647622	2
GBP1	0.805768714	2
HLA-DPA1	0.788271317	2
HLA-DRB1	0.774569868	2
HLA-DRB5	0.767776128	2
HLA-DPB1	0.751529099	2
HLA-DQB1	0.72765267	2
IRF1	0.722276572	2
C1QB	0.720186931	2
C1QA	0.70122104	2
LYZ	0.683489878	2
ITGB2	0.670106863	2
C1QC	0.669456125	2
APOL1	0.656851717	2
CECR1	0.65540105	2
HLA-DMA	0.647144141	2
LCP1	0.639369226	2
CTSS	0.623498405	2
FCGR3A	0.61428826	2
LAPTM5	0.595788553	2
SERPINA3	0.878378891	3
THBS2	0.852612171	3
ALDH1A3	0.827762036	3
IGFBP5	0.790511188	3
IGFBP3	0.789595615	3
ITGB3	0.74010964	3
VCAN	0.696580555	3
POSTN	0.651681746	3
COL12A1	0.636442976	3
PTPRZ1	0.634398762	3
TGFBI	0.63242423	3
CDH19	0.631733624	3
APOD	0.611491798	3
PCOLCE	0.609103343	3
NID1	0.605921685	3
LAMA4	0.597991653	3
IGFBP2	0.594765932	3
SILV	0.997971093	4
TSPAN10	0.914748657	4
TRPM1	0.74963056	4
SLC45A2	0.710886918	4
TRIM63	0.68320936	4
GPR143	0.654830724	4
SLC6A17	0.625447194	4
GMPR	0.599231633	4
