Gene	Group
APC	WNT
APC2	WNT
AXIN1	WNT
AXIN2	WNT
BTRC	WNT
CACYBP	WNT
CAMK2A	WNT
CAMK2B	WNT
CAMK2D	WNT
CAMK2G	WNT
CCND1	WNT
CCND2	WNT
CCND3	WNT
CER1	WNT
CHD8	WNT
CHP	WNT
CHP2	WNT
CREBBP	WNT
CSNK1A1	WNT
CSNK1A1L	WNT
CSNK1E	WNT
CSNK2A1	WNT
CSNK2A2	WNT
CSNK2B	WNT
CTBP1	WNT
CTBP2	WNT
CTNNB1	WNT
CTNNBIP1	WNT
CUL1	WNT
CXXC4	WNT
DAAM1	WNT
DAAM2	WNT
DKK1	WNT
DKK2	WNT
DKK4	WNT
DVL1	WNT
DVL2	WNT
DVL3	WNT
EP300	WNT
FBXW11	WNT
FOSL1	WNT
FRAT1	WNT
FRAT2	WNT
FZD1	WNT
FZD10	WNT
FZD2	WNT
FZD3	WNT
FZD4	WNT
FZD5	WNT
FZD6	WNT
FZD7	WNT
FZD8	WNT
FZD9	WNT
GSK3B	WNT
JUN	WNT
LEF1	WNT
LOC728622	WNT
LRP5	WNT
LRP6	WNT
MAP3K7	WNT
MAPK10	WNT
MAPK8	WNT
MAPK9	WNT
MMP7	WNT
MYC	WNT
NFAT5	WNT
NFATC1	WNT
NFATC2	WNT
NFATC3	WNT
NFATC4	WNT
NKD1	WNT
NKD2	WNT
NLK	WNT
PLCB1	WNT
PLCB2	WNT
PLCB3	WNT
PLCB4	WNT
PORCN	WNT
PPARD	WNT
PPP2CA	WNT
PPP2CB	WNT
PPP2R1A	WNT
PPP2R1B	WNT
PPP2R5A	WNT
PPP2R5B	WNT
PPP2R5C	WNT
PPP2R5D	WNT
PPP2R5E	WNT
PPP3CA	WNT
PPP3CB	WNT
PPP3CC	WNT
PPP3R1	WNT
PPP3R2	WNT
PRICKLE1	WNT
PRICKLE2	WNT
PRKACA	WNT
PRKACB	WNT
PRKACG	WNT
PRKCA	WNT
PRKCB	WNT
PRKCG	WNT
PRKX	WNT
PSEN1	WNT
RAC1	WNT
RAC2	WNT
RAC3	WNT
RBX1	WNT
RHOA	WNT
ROCK1	WNT
ROCK2	WNT
RUVBL1	WNT
SENP2	WNT
SFRP1	WNT
SFRP2	WNT
SFRP4	WNT
SFRP5	WNT
SIAH1	WNT
SKP1	WNT
SMAD2	WNT
SMAD3	WNT
SMAD4	WNT
SOX17	WNT
TBL1X	WNT
TBL1XR1	WNT
TBL1Y	WNT
TCF7	WNT
TCF7L1	WNT
TCF7L2	WNT
TP53	WNT
VANGL1	WNT
VANGL2	WNT
WIF1	WNT
WNT1	WNT
WNT10A	WNT
WNT10B	WNT
WNT11	WNT
WNT16	WNT
WNT2	WNT
WNT2B	WNT
WNT3	WNT
WNT3A	WNT
WNT4	WNT
WNT5A	WNT
WNT5B	WNT
WNT6	WNT
WNT7A	WNT
WNT7B	WNT
WNT8A	WNT
WNT8B	WNT
WNT9A	WNT
WNT9B	WNT
ACLY	KRAS
ATP1B1	KRAS
ATP5F1	KRAS
AXIN1	KRAS
BOP1	KRAS
BSG	KRAS
BTG1	KRAS
CCND1	KRAS
CD68	KRAS
CDKN1A	KRAS
CEACAM1	KRAS
CITED2	KRAS
CSF2	KRAS
CST3	KRAS
CTSS	KRAS
DUSP6	KRAS
EEF1B2	KRAS
EEF1D	KRAS
EEF2	KRAS
EIF3E	KRAS
FAM3C	KRAS
FCGR2A	KRAS
FEZ2	KRAS
FKBP2	KRAS
GABPB2	KRAS
GADD45A	KRAS
GLRX	KRAS
GNB2L1	KRAS
GNS	KRAS
HIF1A	KRAS
HLA-DQA1	KRAS
HNF1B	KRAS
HNRNPA1	KRAS
HPN	KRAS
ID2	KRAS
IL18	KRAS
ITGAM	KRAS
ITGB2	KRAS
KDELR1	KRAS
KRT18	KRAS
KRT8	KRAS
LAMC1	KRAS
LCN2	KRAS
LGALS3	KRAS
MAN1A1	KRAS
MANF	KRAS
MAPK1	KRAS
MDFI	KRAS
MRC1	KRAS
MT2A	KRAS
MTIF2	KRAS
MYCN	KRAS
MYH7	KRAS
NMT1	KRAS
NPC2	KRAS
NPR2	KRAS
NUP88	KRAS
PABPC1	KRAS
PAFAH1B3	KRAS
PCBD1	KRAS
PDK3	KRAS
PHB2	KRAS
PHLDA1	KRAS
PHLDA2	KRAS
PLIN2	KRAS
PON2	KRAS
PSEN1	KRAS
RABGGTB	KRAS
RPL14	KRAS
RPL3	KRAS
RPL6	KRAS
RPL8	KRAS
RPS2	KRAS
S100A1	KRAS
SFTPB	KRAS
SHC1	KRAS
SIRPA	KRAS
SLC12A2	KRAS
SLC25A5	KRAS
SND1	KRAS
TANK	KRAS
TGFBI	KRAS
TGOLN2	KRAS
TNNT1	KRAS
TROVE2	KRAS
TSTA3	KRAS
TYR	KRAS
UBXN1	KRAS
VASP	KRAS
